timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,quatW,quatX,quatY,quatZ,altitude,temperature,analogValue,state
239283,-0.869934,-0.526062,0.029907,6.728631,-18.318064,-2.181026,-0.423678,-0.142548,-0.843948,0.296515,632.56,31.60,766.00,1
239383,-0.818665,-0.509460,0.146118,8.986932,-17.890818,-1.494380,-0.442545,-0.137875,-0.828838,0.313312,632.58,31.60,768.00,1
239483,-0.670227,-0.427917,0.300903,5.126458,-13.114816,-0.929805,-0.458006,-0.133598,-0.816316,0.325579,632.59,31.60,766.00,1
239583,-0.772766,-0.454285,0.370239,3.722650,-12.733346,-1.021358,-0.473453,-0.128999,-0.803799,0.336304,632.61,31.60,768.00,1
239683,-0.732239,-0.490417,0.439087,3.600580,-9.956246,2.625493,-0.487355,-0.127303,-0.791850,0.345317,632.62,31.60,766.00,1
239783,-0.744446,-0.473328,0.489868,2.898675,-10.352975,0.916509,-0.501111,-0.124058,-0.779753,0.354223,632.62,31.60,766.00,1
239883,-0.616516,-0.431335,0.565063,7.888299,-15.785104,1.587895,-0.517693,-0.121588,-0.763411,0.366615,632.62,31.60,768.00,1
239983,-0.613586,-0.352234,0.614380,6.331903,-10.734445,1.679448,-0.531303,-0.120611,-0.749274,0.376497,632.62,31.60,768.00,1
240083,-0.490540,-0.318542,0.716431,4.714471,-10.902291,-1.280757,-0.543610,-0.116635,-0.735861,0.386502,632.67,31.59,768.00,1
240183,-0.555969,-0.367859,0.765259,-0.702399,-6.385690,2.289800,-0.554699,-0.113747,-0.725652,0.390886,632.67,31.59,766.00,1
240283,-0.445129,-0.371765,0.820435,0.976068,-7.850534,3.647832,-0.566489,-0.111600,-0.714045,0.395939,632.64,31.60,768.00,1
240383,-0.327454,-0.281921,0.860474,6.072503,-12.245065,-0.838252,-0.578794,-0.107810,-0.698740,0.406359,632.68,31.59,766.00,1
240483,-0.332825,-0.319031,0.892700,5.462152,-11.436349,0.870732,-0.591000,-0.104715,-0.683421,0.415550,632.68,31.59,768.00,1
240583,-0.120911,-0.156921,0.937622,5.858880,-9.956246,-1.585933,-0.601095,-0.101363,-0.668971,0.425300,632.70,31.59,768.00,1
240683,-0.220032,-0.177429,0.948853,5.370599,-14.137155,-1.265498,-0.613964,-0.096434,-0.651646,0.434854,632.67,31.60,768.00,1
240783,0.005554,-0.164734,0.995239,8.498651,-11.878854,-2.303096,-0.623961,-0.092827,-0.634457,0.446666,632.68,31.59,768.00,1
240883,-0.136536,-0.176453,0.983521,1.891595,0.206107,0.168828,-0.629052,-0.091971,-0.625506,0.452292,632.68,31.59,766.00,1
240983,-0.052063,-0.117859,1.024048,4.821282,-4.798776,-0.899287,-0.636140,-0.090308,-0.612617,0.460284,632.67,31.59,768.00,1
241083,0.070007,0.013000,1.004517,2.654535,-1.441842,2.259282,-0.642857,-0.091041,-0.602214,0.464517,632.68,31.59,768.00,1
241183,-0.060852,-0.123718,1.013306,-2.655524,1.075858,1.175908,-0.648224,-0.088472,-0.594983,0.466868,632.68,31.59,768.00,1
